Date,Open,High,Low,Close,Adj Close,Volume
04/03/15,181.210007,181.789993,169.960007,171.330002,147.213684,20876230
05/03/15,171,172.979996,168.5,171.339996,147.222275,13710620
09/03/15,169,169.759995,164.25,164.830002,141.628616,13809950
10/03/15,165.190002,169.199997,163.389999,165.520004,142.221497,17286410
11/03/15,165.600006,166.660004,163.279999,164.580002,141.413818,13969840
12/03/15,165.800003,166.699997,163.919998,164.639999,141.465363,8946110
13/03/15,166.25,166.580002,159.5,160.669998,138.054169,13538380
16/03/15,161.399994,163.979996,159.5,162.770004,139.858597,12452355
17/03/15,164.300003,167.759995,163.300003,166.639999,143.183853,12641860
18/03/15,167.399994,171.779999,165.759995,171.139999,147.05043,21565815
19/03/15,172.600006,174.119995,165.070007,166.800003,143.32132,19070450
20/03/15,165.789993,168.399994,163.309998,166.410004,142.986206,16854390
23/03/15,167.279999,167.800003,164.720001,165.839996,142.496445,8688850
24/03/15,165.740005,167.199997,162.440002,164.529999,141.37085,21492620
25/03/15,164.600006,165.399994,160.800003,161.300003,138.59549,14640920
26/03/15,160.199997,164.600006,158.410004,161.270004,138.569717,42225610
27/03/15,162.559998,164.399994,156.639999,163.199997,140.228058,28115590
30/03/15,163.869995,165.539993,163,164.589996,141.422394,12687060
31/03/15,165.539993,166.779999,162.160004,163.149994,140.185089,14274760
01/04/15,162.440002,170.199997,161.619995,169.550003,145.684235,14082540
06/04/15,170.009995,171.559998,168.199997,169.179993,145.366318,11597585
07/04/15,170.5,170.5,167.089996,168.160004,144.489899,13655825
08/04/15,168.759995,168.759995,163.800003,164.119995,141.018539,19859170
09/04/15,165.199997,168.759995,164.369995,168.339996,144.644547,19811865
10/04/15,169.289993,170.080002,167.610001,168.520004,144.799225,11584115
13/04/15,168.779999,169.360001,167.130005,168.339996,144.644547,9860795
15/04/15,168.860001,172.800003,167.199997,169.130005,145.323364,17151840
16/04/15,169.729996,170.919998,167.080002,170.160004,146.208359,12454880
17/04/15,170.070007,170.070007,161.240005,161.880005,139.093857,20015130
20/04/15,162.580002,163.139999,155.009995,157.580002,135.399124,22838400
21/04/15,156.529999,160.600006,154.360001,156.75,134.685944,17859615
22/04/15,158,160.320007,155.240005,159.210007,136.799683,34472565
23/04/15,161,171,160.979996,170.259995,146.294281,66203965
24/04/15,170.800003,170.940002,164.100006,164.789993,141.594238,25613130
27/04/15,165.559998,166.039993,160.770004,162.220001,139.386002,15325245
28/04/15,161.759995,166.360001,161.100006,165.289993,142.023849,24754225
29/04/15,164.800003,168.979996,164,166.910004,143.415848,16815610
30/04/15,166.320007,169.759995,165.389999,167.889999,144.257889,32475555
04/05/15,169.399994,171.839996,168,170.779999,146.741089,10958590
05/05/15,170.399994,173.110001,169.839996,171.490005,147.351166,11601860
06/05/15,170,170.800003,163.399994,164.210007,141.095886,15416255
07/05/15,163.960007,163.960007,157.639999,159.679993,137.203537,16180565
08/05/15,161.300003,165.899994,160.690002,165.220001,141.963715,17101355
11/05/15,166.399994,169.679993,165.399994,168.869995,145.09993,10048910
12/05/15,168.699997,168.699997,163.800003,164.529999,141.37085,11975115
13/05/15,165.199997,169.949997,165.119995,168.149994,144.481293,19426025
14/05/15,167.880005,169,165.279999,167.759995,144.146194,15087310
15/05/15,168.880005,172.860001,168.320007,169.910004,145.993561,17026980
18/05/15,170.740005,173.759995,170.410004,172.910004,148.571289,11991900
19/05/15,172.800003,175.550003,171.600006,172.809998,148.485352,17563885
20/05/15,173.339996,175.800003,173.199997,174.960007,150.332733,11868010
21/05/15,173.990005,174.199997,170.580002,172.160004,155.948929,9573470
22/05/15,172.759995,174.5,172.240005,173.369995,157.044983,9091245
25/05/15,173.399994,173.649994,170.110001,170.539993,154.481461,6228425
26/05/15,171.240005,172.899994,169.050003,172.149994,155.939865,8637040
27/05/15,169.600006,174.800003,169.600006,174.179993,157.778702,9011875
28/05/15,174.339996,175.179993,171.220001,171.809998,155.631866,15283635
29/05/15,172.139999,176.869995,172.139999,176.460007,159.844025,10859570
01/06/15,176.979996,179.5,175.619995,175.910004,159.34581,12704125
02/06/15,176.589996,176.610001,168.270004,169.139999,153.213303,16620215
03/06/15,168.600006,168.740005,165,165.880005,150.260269,21569610
04/06/15,167,167.179993,164.050003,165.429993,149.852631,16055485
05/06/15,165.399994,168.199997,163.630005,164.679993,149.173248,13471950
08/06/15,166,166.100006,163.110001,164.520004,149.028336,10556045
09/06/15,164.580002,167.100006,163.639999,164.639999,149.137009,11576335
10/06/15,164.600006,167.279999,164.600006,166.690002,150.993988,8792205
11/06/15,168,168.690002,160.399994,160.919998,145.767303,15458335
12/06/15,159.779999,162.169998,158.800003,161.089996,145.921295,15189245
15/06/15,162.380005,163,159.610001,160.710007,145.577087,9629465
16/06/15,160.800003,163.800003,159.220001,163.100006,147.742035,10452720
17/06/15,164,164.740005,162.320007,163.419998,148.031891,10595150
18/06/15,162.100006,165.679993,161.429993,164.929993,149.399719,15115310
19/06/15,165.199997,166.949997,164.399994,165.979996,150.350845,9672370
22/06/15,167.160004,172.800003,167.020004,171.880005,155.695282,16062505
23/06/15,172.179993,173.960007,171.160004,173.279999,156.963455,12920395
24/06/15,172.199997,174.759995,170.5,172.009995,155.813034,9633250
25/06/15,171.479996,173,169.600006,171.729996,155.559418,9546750
26/06/15,170.399994,171.119995,167.919998,170.149994,154.128174,8739610
29/06/15,166.600006,168,164.800003,167.509995,151.736771,13008910
30/06/15,167.800003,169.199997,166.809998,168.770004,152.878128,10901255
01/07/15,168.779999,174.300003,168.330002,173.410004,157.081207,10008360
02/07/15,173.600006,175.600006,173.399994,173.940002,157.56131,12745860
03/07/15,173.960007,174.910004,172.440002,174.270004,157.860245,5434175
06/07/15,171.940002,174.139999,171,173.910004,157.534134,9839550
07/07/15,174,175.580002,171.25,172.399994,156.166321,8516965
08/07/15,170,170.529999,158.440002,159.5,144.481003,51260720
09/07/15,161.800003,164,159,159.960007,144.89772,30729465
10/07/15,161.589996,162.869995,160.800003,161.970001,146.718445,12458255
13/07/15,163,164.020004,157.600006,162.899994,147.560867,23861560
14/07/15,163,164.380005,161.199997,162.399994,147.107941,13142700
15/07/15,162.339996,163,160.199997,160.860001,145.712952,13717715
16/07/15,161.600006,167.139999,160.960007,166.070007,150.432373,28100665
17/07/15,164.199997,167.199997,162.399994,164.910004,149.381607,21185955
20/07/15,165.179993,165.399994,162.800003,163.589996,148.185898,10734130
21/07/15,164,164.509995,161.009995,161.529999,146.31987,7971710
22/07/15,161.399994,164.979996,160.220001,164.619995,149.118896,13214535
23/07/15,164.399994,166.399994,163.009995,164.070007,148.620712,9892340
24/07/15,164.199997,165.5,161.199997,161.630005,146.410446,12759565
27/07/15,161.600006,161.869995,156.449997,157.059998,142.270782,16092860
28/07/15,157.589996,159.990005,156.820007,158.990005,144.019058,10796865
29/07/15,160.380005,164.199997,159.199997,163.220001,147.850739,32223395
30/07/15,164.399994,165.179993,161.759995,162.5,147.198517,19520480
31/07/15,163.580002,168.160004,162.820007,165.789993,150.178726,21541175
03/08/15,166.990005,168.179993,164.850006,166.649994,150.957764,19091075
04/08/15,166.300003,168.699997,165.009995,168.330002,152.479568,18714140
05/08/15,168.800003,169.289993,165.839996,166.119995,150.477661,6614900
06/08/15,166.600006,167.279999,165,165.520004,149.934158,7253480
07/08/15,165.600006,165.940002,163.869995,164.289993,148.819977,6664450
10/08/15,164.800003,166.860001,162.419998,163.350006,147.968491,11091580
11/08/15,164,164.600006,159.399994,159.729996,144.689362,12570600
12/08/15,158.960007,159,153.339996,154,139.498917,15414625
13/08/15,156,157,151.440002,152.429993,138.076736,17850695
14/08/15,153.199997,159.759995,153,159.360001,144.354202,18962485
17/08/15,159.389999,160.5,156.679993,158.119995,143.230957,7442630
18/08/15,158.990005,160,156.350006,157.199997,142.397598,9974165
19/08/15,157.600006,157.919998,154.309998,154.850006,140.26889,8477175
20/08/15,154.800003,155.160004,140.660004,144.009995,130.4496,34706850
21/08/15,141.789993,141.800003,135.860001,138.429993,125.395027,47775905
24/08/15,132.600006,132.600006,119,125.940002,114.081131,49036520
25/08/15,129.600006,136.990005,127.5,136.139999,123.320663,35878850
26/08/15,136.139999,139,132.559998,136.330002,123.492775,28419915
27/08/15,140.940002,141,133.720001,137.520004,124.570732,30871450
28/08/15,139.970001,140.360001,131.759995,135.339996,122.595985,29301755
31/08/15,135.389999,138.850006,134.199997,137.889999,124.905876,14909355
01/09/15,135.979996,135.979996,130.559998,133.279999,120.729965,20935610
02/09/15,135,135.440002,130.460007,131.850006,119.434631,18930000
03/09/15,133.199997,135.279999,132.160004,134.339996,121.690155,15062695
04/09/15,133,133.600006,127,129.440002,117.251556,18705090
07/09/15,129.800003,131.25,128.220001,130.139999,117.885643,13447880
08/09/15,131.279999,140.179993,130.639999,139.369995,126.246506,34189085
09/09/15,143.550003,144.779999,142,143.309998,129.815521,30508645
10/09/15,139,143.940002,138.199997,142.600006,129.172379,17735250
11/09/15,143.940002,145.270004,140.869995,142.190002,128.80098,15170375
14/09/15,142,146.820007,141.259995,146.330002,132.551147,16565705
15/09/15,146.539993,148.25,145.070007,145.589996,131.880814,16110920
